Player,Pos,Age,Tm,Player-additional
Jalen Smith,PF,22,IND,smithja04
Jeremy Sochan,PF,19,SAS,sochaje01
Jaden Springer,SG,20,PHI,sprinja01
Lamar Stevens,PF,25,CLE,stevela01
Isaiah Stewart,C,21,DET,stewais01
Max Strus,SF,26,MIA,strusma01
Jalen Suggs,PG,21,ORL,suggsja01
Edmond Sumner,SG,27,BRK,sumneed01
Cole Swider,SF,23,LAL,swideco01
Jae'Sean Tate,SF,27,HOU,tateja01
Jayson Tatum,PF,24,BOS,tatumja01
Terry Taylor,SG,23,IND,taylote01
Garrett Temple,SG,36,NOP,templga01
Dalen Terry,SG,20,CHI,terryda01
Cam Thomas,SG,21,BRK,thomaca02
Klay Thompson,SG,32,GSW,thompkl01
JT Thor,PF,20,CHO,thorjt01
Matisse Thybulle,SG,25,PHI,thybuma01
Xavier Tillman Sr.,PF,24,MEM,tillmxa01
Isaiah Todd,PF,21,WAS,toddis01
Obi Toppin,PF,24,NYK,toppiob01
Juan Toscano-Anderson,SF,29,LAL,toscaju01
Karl-Anthony Towns,PF,27,MIN,townska01
Gary Trent Jr.,SG,24,TOR,trentga02
P.J. Tucker,PF,37,PHI,tuckepj01
Myles Turner,C,26,IND,turnemy01
Jonas Valančiūnas,C,30,NOP,valanjo01
Jarred Vanderbilt,PF,23,UTA,vandeja01
Fred VanVleet,PG,28,TOR,vanvlfr01
Devin Vassell,SG,22,SAS,vassede01
Gabe Vincent,PG,26,MIA,vincega01
Noah Vonleh,C,27,BOS,vonleno01
Nikola Vučević,C,32,CHI,vucevni01
Dean Wade,PF,26,CLE,wadede01
Franz Wagner,SF,21,ORL,wagnefr01
Moritz Wagner,C,25,ORL,wagnemo01
Ish Wainright,SF,28,PHO,wainris01
Jabari Walker,SF,20,POR,walkeja01
Kemba Walker,PG,32,DAL,walkeke02
Lonnie Walker IV,SG,24,LAL,walkelo01
John Wall,PG,32,LAC,walljo01
T.J. Warren,PF,29,BRK,warretj01
Duane Washington Jr.,SG,22,PHO,washidu02
P.J. Washington,PF,24,CHO,washipj01
TyTy Washington Jr.,PG,21,HOU,washity02
Yuta Watanabe,SF,28,BRK,watanyu01
Lindy Waters III,SG,25,OKC,waterli01
Trendon Watford,PF,22,POR,watfotr01
Peyton Watson,SG,20,DEN,watsope01
Blake Wesley,SG,19,SAS,weslebl01
Russell Westbrook,PG,34,LAL,westbru01
Coby White,SG,22,CHI,whiteco01
Derrick White,SG,28,BOS,whitede01
Jack White,SF,25,DEN,whiteja03
Joe Wieskamp,SF,23,TOR,wieskjo01
Aaron Wiggins,SG,24,OKC,wiggiaa01
Andrew Wiggins,SF,27,GSW,wiggian01
Alondes Williams,SG,23,BRK,willial06
Grant Williams,PF,24,BOS,willigr01
Jalen Williams,SG,21,OKC,willija06
Jaylin Williams,PF,20,OKC,willija07
Kenrich Williams,PF,28,OKC,willike04
Mark Williams,C,21,CHO,willima07
Patrick Williams,PF,21,CHI,willipa01
Robert Williams,C,25,BOS,williro04
Vince Williams Jr.,SG,22,MEM,willivi01
Ziaire Williams,SF,21,MEM,willizi02
Zion Williamson,PF,22,NOP,willizi01
Justise Winslow,SF,26,POR,winslju01
James Wiseman,C,21,GSW,wisemja01
Christian Wood,C,27,DAL,woodch01
Delon Wright,PG,30,WAS,wrighde01
McKinley Wright IV,PG,24,DAL,wrighmc01
Thaddeus Young,PF,34,TOR,youngth01
Trae Young,PG,24,ATL,youngtr01
Ivica Zubac,C,25,LAC,zubaciv01
