Player,Pos,Age,Tm,No.,Ht,Div,Conf
233,Derrick Jones Jr.,SF,25,CHI,5.0,6.416666666666667,Cen.,East
234,Herbert Jones,SF,24,NOP,5.0,6.666666666666667,SW,West
235,Kai Jones,C,22,CHO,23.0,6.916666666666667,SE,East
236,Tre Jones,PG,23,SAS,33.0,6.083333333333333,SW,West
237,Tyus Jones,PG,26,MEM,21.0,6.0,SW,West
238,DeAndre Jordan,C,34,DEN,6.0,6.916666666666667,NW,West
239,Cory Joseph,PG,31,DET,18.0,6.25,Cen.,East
240,Nikola Jović,PF,19,MIA,5.0,6.833333333333333,SE,East
242,Frank Kaminsky,C,29,ATL,0.0,7.0,SE,East
244,Luke Kennard,SG,26,LAC,5.0,6.416666666666667,Pac.,West
245,Walker Kessler,C,21,UTA,24.0,7.083333333333333,NW,West
247,Corey Kispert,SF,23,WAS,24.0,6.583333333333333,SE,East
248,Maxi Kleber,C,31,DAL,42.0,6.833333333333333,SW,West
249,Nathan Knight,PF,25,MIN,13.0,6.833333333333333,NW,West
250,Kevin Knox,PF,23,DET,20.0,6.583333333333333,Cen.,East
251,Christian Koloko,C,22,TOR,35.0,7.083333333333333,Atl.,East
252,John Konchar,SG,26,MEM,46.0,6.416666666666667,SW,West
253,Furkan Korkmaz,SG,25,PHI,30.0,6.583333333333333,Atl.,East
254,Luke Kornet,C,27,BOS,40.0,7.166666666666667,Atl.,East
255,Vit Krejci,PG,22,ATL,27.0,6.666666666666667,SE,East
256,Jonathan Kuminga,PF,20,GSW,0.0,6.666666666666667,Pac.,West
257,Kyle Kuzma,PF,27,WAS,33.0,6.75,SE,East
259,Jock Landale,C,27,PHO,11.0,6.916666666666667,Pac.,West
260,Romeo Langford,SG,23,SAS,35.0,6.333333333333333,SW,West
261,Jake LaRavia,PF,21,MEM,3.0,6.666666666666667,SW,West
262,Zach LaVine,SG,27,CHI,8.0,6.416666666666667,Cen.,East
266,Damion Lee,SG,30,PHO,10.0,6.416666666666667,Pac.,West
267,Saben Lee,PG,23,TOT,38.0,6.166666666666667,,
268,Saben Lee,PG,23,PHI,38.0,6.166666666666667,Atl.,East
269,Saben Lee,PG,23,PHO,38.0,6.166666666666667,Pac.,West
270,Alex Len,C,29,SAC,25.0,7.0,Pac.,West
271,Kawhi Leonard,SF,31,LAC,2.0,6.583333333333333,Pac.,West
272,Caris LeVert,SG,28,CLE,3.0,6.5,Cen.,East
273,Kira Lewis Jr.,PG,21,NOP,13.0,6.083333333333333,SW,West
274,Damian Lillard,PG,32,POR,0.0,6.166666666666667,NW,West
275,Nassir Little,SF,22,POR,10.0,6.416666666666667,NW,West
276,Isaiah Livers,PF,24,DET,12.0,6.583333333333333,Cen.,East
278,Kevon Looney,C,26,GSW,5.0,6.75,Pac.,West
279,Brook Lopez,C,34,MIL,11.0,7.0,Cen.,East
280,Robin Lopez,C,34,CLE,33.0,7.0,Cen.,East
281,Kevin Love,PF,34,CLE,0.0,6.666666666666667,Cen.,East
282,Kyle Lowry,PG,36,MIA,7.0,6.0,SE,East
283,Trey Lyles,PF,27,SAC,41.0,6.75,Pac.,West
286,Terance Mann,SG,26,LAC,14.0,6.416666666666667,Pac.,West
287,Tre Mann,PG,21,OKC,23.0,6.25,NW,West
288,Boban Marjanović,C,34,HOU,51.0,7.25,SW,West
289,Lauri Markkanen,SF,25,UTA,23.0,7.0,NW,West
290,Naji Marshall,SF,25,NOP,8.0,6.583333333333333,SW,West
291,Caleb Martin,PF,27,MIA,16.0,6.416666666666667,SE,East
292,Cody Martin,SF,27,CHO,11.0,6.416666666666667,SE,East
293,Kenyon Martin Jr.,SF,22,HOU,6.0,6.5,SW,West
294,Tyrese Martin,SG,23,ATL,22.0,6.5,SE,East
295,Garrison Mathews,SG,26,HOU,25.0,6.416666666666667,SW,West
296,Bennedict Mathurin,SF,20,IND,0.0,6.5,Cen.,East
297,Wesley Matthews,SG,36,MIL,23.0,6.333333333333333,Cen.,East
298,Tyrese Maxey,SG,22,PHI,0.0,6.166666666666667,Atl.,East
299,Miles McBride,PG,22,NYK,2.0,6.166666666666667,Atl.,East
300,CJ McCollum,SG,31,NOP,3.0,6.25,SW,West
301,T.J. McConnell,PG,30,IND,9.0,6.083333333333333,Cen.,East
302,Jaden McDaniels,PF,22,MIN,3.0,6.75,NW,West
303,Jalen McDaniels,SF,25,CHO,6.0,6.75,SE,East
304,Doug McDermott,SF,31,SAS,17.0,6.583333333333333,SW,West
305,JaVale McGee,C,35,DAL,0.0,7.0,SW,West
307,Rodney McGruder,SG,31,DET,17.0,6.333333333333333,Cen.,East
308,Jordan McLaughlin,PG,26,MIN,6.0,5.916666666666667,NW,West
309,De'Anthony Melton,PG,24,PHI,8.0,6.166666666666667,Atl.,East
310,Chimezie Metu,C,25,SAC,7.0,6.75,Pac.,West
311,Khris Middleton,SF,31,MIL,22.0,6.583333333333333,Cen.,East
312,Patty Mills,PG,34,BRK,8.0,6.083333333333333,Atl.,East
313,Shake Milton,SG,26,PHI,18.0,6.416666666666667,Atl.,East
314,Josh Minott,SF,20,MIN,8.0,6.666666666666667,NW,West
315,Davion Mitchell,PG,24,SAC,15.0,6.166666666666667,Pac.,West
316,Donovan Mitchell,SG,26,CLE,45.0,6.083333333333333,Cen.,East
317,Evan Mobley,PF,21,CLE,4.0,7.0,Cen.,East
320,Malik Monk,SG,24,SAC,0.0,6.25,Pac.,West
321,Moses Moody,SG,20,GSW,4.0,6.5,Pac.,West
322,Wendell Moore Jr.,SG,21,MIN,7.0,6.416666666666667,NW,West
323,Ja Morant,PG,23,MEM,12.0,6.25,SW,West
324,Marcus Morris,PF,33,LAC,8.0,6.666666666666667,Pac.,West
325,Markieff Morris,PF,33,BRK,13.0,6.75,Atl.,East
326,Monte Morris,PG,27,WAS,22.0,6.166666666666667,SE,East
327,Trey Murphy III,SF,22,NOP,25.0,6.75,SW,West
328,Dejounte Murray,SG,26,ATL,5.0,6.333333333333333,SE,East
